claim_id,claim_date,sale_id,repair_status
1,2023-06-11,290444,Paid Repaired
2,2021-04-11,931901,Repaired
3,2020-02-20,724041,Paid Repaired
4,2022-01-09,261366,Paid Repaired
5,2024-07-10,496562,Paid Repaired
6,2024-10-27,799319,Replacement
7,2024-05-04,839562,In Progress
8,2024-12-09,533867,Repaired
9,2018-12-10,671317,Paid Repaired
10,2023-02-18,761012,In Progress
11,2019-06-05,508149,Repaired
12,2023-01-15,502390,Paid Repaired
13,2024-12-31,703915,Replacement
14,2020-09-20,118071,Repaired
15,2024-08-29,377621,Replacement
16,2023-12-19,261614,Warranty Void
17,2019-10-01,889550,Repaired
18,2024-09-10,59695,Replacement
19,2018-11-11,447191,Repaired
20,2022-01-12,39454,Paid Repaired
21,2024-12-31,960266,Warranty Void
22,2019-12-09,974485,Paid Repaired
23,2022-09-04,680879,Replacement
24,2020-09-17,524693,Replacement
25,2021-02-09,173054,Repaired
26,2022-07-11,361887,Replacement
27,2024-06-14,215780,Repaired
28,2024-08-16,298000,Paid Repaired
29,2024-10-04,195033,Paid Repaired
30,2020-10-16,736809,Paid Repaired
31,2023-12-12,125353,Paid Repaired
32,2022-04-04,348298,Paid Repaired
33,2021-03-27,909467,Warranty Void
34,2024-11-29,930146,In Progress
35,2020-10-12,830921,Paid Repaired
36,2020-05-08,12701,Paid Repaired
37,2023-01-15,585659,Repaired
38,2018-07-05,643577,Paid Repaired
39,2023-06-18,394624,Paid Repaired
40,2019-02-03,355260,Paid Repaired
41,2021-09-13,409828,Repaired
42,2021-02-22,894193,Repaired
43,2024-04-18,151677,Repaired
44,2022-09-03,466893,Replacement
45,2024-12-31,331093,Warranty Void
46,2023-11-16,518055,Repaired
47,2020-02-28,137802,Paid Repaired
48,2022-09-12,122182,Repaired
49,2023-09-17,698913,Repaired
50,2019-07-02,404322,Repaired
51,2024-11-03,242450,Paid Repaired
52,2021-01-22,571623,Paid Repaired
53,2019-03-30,516420,Repaired
54,2020-08-09,483045,Repaired
55,2018-11-25,579399,Replacement
56,2021-09-24,581875,Repaired
57,2020-05-04,408070,Paid Repaired
58,2023-11-06,497138,Warranty Void
59,2022-10-08,157090,Repaired
60,2020-01-23,416926,Paid Repaired
61,2023-09-12,176006,Replacement
62,2021-03-02,625139,Repaired
63,2022-06-09,137259,Repaired
64,2021-06-20,880212,Replacement
65,2021-01-23,2349,Warranty Void
66,2022-07-09,758445,Warranty Void
67,2022-12-16,769076,In Progress
68,2019-11-24,985706,Warranty Void
69,2019-09-03,268906,Paid Repaired
70,2021-12-03,952412,Repaired
71,2021-04-13,207177,Repaired
72,2020-11-25,451662,Repaired
73,2021-10-02,526270,Replacement
74,2019-09-15,367763,Paid Repaired
75,2020-04-01,738283,Replacement
76,2023-03-13,610298,Paid Repaired
77,2019-06-08,653956,Repaired
78,2023-05-03,906274,Repaired
79,2022-10-12,179261,Repaired
80,2020-05-16,774581,Paid Repaired
81,2022-04-05,830152,In Progress
